cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7,frp_sum_l30,frp_max_l3,frp_max_l7,frp_max_l30,n_det_l30,frp_sum_l1_l3,frp_sum_l1_l7,frp_sum_l1_l30,n_det_l1_l3,n_det_l1_l7,n_det_l1_l30,frp_sum_l3_l3,frp_sum_l3_l7,frp_sum_l3_l30,n_det_l3_l3,n_det_l3_l7,n_det_l3_l30,frp_sum_l7_l3,frp_sum_l7_l7,frp_sum_l7_l30,n_det_l7_l3,n_det_l7_l7,n_det_l7_l30
13058,2025-07-24,2.31,1.05,3,0.0,1.79,3.0,1.305,2.0,1.305,2.0,1.305,0.79,0.79,0.79,2.0,1.395,1.395,1.395,2.0,2.0,2.0,0.82,0.82,0.82,1.0,1.0,1.0,0.82,0.82,0.82,1.0,1.0,1.0
13058,2025-07-30,0.91,0.54,2,0.0,2.31,3.0,1.64,2.3333333333333335,1.64,2.3333333333333335,1.64,0.8766666666666666,0.8766666666666666,0.8766666666666666,2.3333333333333335,1.5266666666666666,1.5266666666666666,1.5266666666666666,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0625,1.0625,1.0625,1.5,1.5,1.5,1.0625,1.0625,1.0625,1.5,1.5,1.5
13058,2025-07-31,1.47,1.19,2,1.0,0.91,2.0,1.67,2.6666666666666665,1.4575,2.25,1.4575,0.7833333333333333,0.7925,0.7925,2.25,1.64,1.7225000000000001,1.7225000000000001,2.3333333333333335,2.5,2.5,1.255,1.255,1.255,1.777777777777778,1.777777777777778,1.777777777777778,1.255,1.255,1.255,1.777777777777778,1.777777777777778,1.777777777777778
15517,2025-07-02,5.869999999999999,2.26,3,1.0,8.4,2.0,1.61,2.5,1.4575,2.25,1.4575,0.7949999999999999,0.7925,0.7925,2.25,2.05,1.7225000000000001,1.7225000000000001,3.0,2.5,2.5,1.4725,1.255,1.255,2.166666666666667,1.777777777777778,1.777777777777778,1.4725,1.255,1.255,2.166666666666667,1.777777777777778,1.777777777777778
15517,2025-07-06,10.239999999999998,3.05,4,0.0,5.869999999999999,3.0,3.3899999999999997,2.5,2.34,2.4,2.34,1.4,1.0859999999999999,1.0859999999999999,2.4,5.355,3.0580000000000003,3.0580000000000003,2.5,2.4,2.4,1.625,1.34375,1.34375,2.416666666666667,1.9583333333333335,1.9583333333333335,1.5487499999999998,1.305625,1.305625,2.291666666666667,1.8958333333333335,1.8958333333333335
15517,2025-07-20,66.17,11.96,9,0.0,10.239999999999998,4.0,8.055,3.5,3.6566666666666663,2.6666666666666665,3.6566666666666663,2.655,1.4133333333333333,1.4133333333333333,2.6666666666666665,7.134999999999999,3.526666666666667,3.526666666666667,2.5,2.5,2.5,2.5,1.7530000000000001,1.7530000000000001,2.5,2.066666666666667,2.066666666666667,1.8987499999999997,1.5125,1.5125,2.325,1.9966666666666668,1.9966666666666668
15517,2025-07-26,140.86,59.56,3,0.0,66.17,9.0,27.426666666666666,5.333333333333333,14.548333333333332,4.0,12.587142857142856,5.756666666666667,3.27,2.9200000000000004,3.5714285714285716,8.17,4.905,4.485714285714286,3.0,2.6666666666666665,2.7142857142857144,4.351666666666667,2.8033333333333332,2.8033333333333332,2.8333333333333335,2.305555555555556,2.305555555555556,2.484722222222222,1.869861111111111,1.869861111111111,2.4388888888888887,2.1083333333333334,2.1083333333333334
18496,2025-07-09,1.02,0.42,3,1.0,2.18,3.0,38.205,6.5,17.099999999999998,4.2,12.587142857142856,7.505,3.7720000000000007,2.9200000000000004,3.5714285714285716,8.055,5.7219999999999995,4.485714285714286,3.5,3.0,2.7142857142857144,5.7225,3.2,2.8033333333333332,3.0,2.566666666666667,2.305555555555556,2.998333333333333,2.079833333333333,1.869861111111111,2.533333333333333,2.33,2.1083333333333334
18496,2025-07-10,1.74,0.82,4,1.0,1.02,3.0,33.595,6.0,16.842000000000002,4.2,11.14125,6.19,3.646000000000001,2.6075000000000004,3.5,6.209999999999998,5.8,4.1975,3.5,3.0,2.75,23.13,10.58,7.860714285714286,5.0,3.4666666666666672,2.904761904761905,10.378333333333332,5.238833333333333,4.045595238095237,3.4333333333333336,2.77,2.4071428571428575
18496,2025-07-17,0.76,0.5,2,0.0,1.74,4.0,1.38,3.5,17.008000000000003,4.6,10.096666666666668,0.62,3.7020000000000004,2.408888888888889,3.5555555555555554,1.5999999999999992,5.542,3.8444444444444446,3.0,3.0,2.7777777777777777,35.9,16.970999999999997,11.0775,6.25,4.2,3.291666666666667,16.971,8.279233333333334,5.645145833333333,4.2,3.143333333333333,2.63125
