cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7
34797,2025-07-25,1.71,0.62,3,1.0,1.81,2.0,5.8999999999999995,6.0,11.010000000000007,14.0
34797,2025-07-30,3.0,1.28,3,0.0,1.71,3.0,5.6499999999999995,7.0,12.120000000000006,16.0
37137,2025-07-05,0.93,0.93,1,0.0,3.51,4.0,3.51,4.0,3.51,4.0
37137,2025-07-06,1.75,1.01,2,1.0,0.93,1.0,4.4399999999999995,5.0,4.440000000000007,5.0
37137,2025-07-08,2.71,1.02,3,0.0,1.75,2.0,6.1899999999999995,7.0,6.190000000000007,7.0
37137,2025-07-09,2.73,0.91,4,1.0,2.71,3.0,5.39,6.0,8.900000000000007,10.0
37137,2025-07-10,0.6,0.6,1,1.0,2.73,4.0,7.1899999999999995,9.0,11.630000000000006,14.0
37137,2025-07-18,5.62,2.98,2,0.0,0.6,1.0,6.04,8.0,12.230000000000008,15.0
37137,2025-07-19,1.48,1.48,1,1.0,5.62,2.0,8.95,7.0,17.85000000000001,17.0
37137,2025-07-24,3.08,1.07,3,0.0,1.48,1.0,7.699999999999999,4.0,15.820000000000007,14.0
37137,2025-07-25,3.52,0.97,5,1.0,3.08,3.0,10.18,6.0,17.970000000000006,16.0
37137,2025-07-26,1.67,1.67,1,1.0,3.52,5.0,8.08,9.0,19.74000000000001,19.0
37137,2025-07-30,2.49,1.05,3,0.0,1.67,1.0,8.27,9.0,18.700000000000006,17.0
37137,2025-07-31,2.74,1.24,3,1.0,2.49,3.0,7.68,9.0,18.460000000000008,16.0
38275,2025-07-08,1.27,1.27,1,0.0,0.91,1.0,0.91,1.0,0.91,1.0
38275,2025-07-09,3.46,1.4,3,1.0,1.27,1.0,2.18,2.0,2.1800000000000073,2.0
38275,2025-07-10,1.6600000000000001,1.32,2,1.0,3.46,3.0,5.640000000000001,5.0,5.640000000000008,5.0
38275,2025-07-17,2.33,1.59,2,0.0,1.6600000000000001,2.0,6.390000000000001,6.0,7.300000000000008,7.0
38275,2025-07-24,2.7199999999999998,1.74,2,0.0,2.33,2.0,7.450000000000001,7.0,9.630000000000008,9.0
38275,2025-07-25,2.09,1.14,2,1.0,2.7199999999999998,2.0,6.71,6.0,12.350000000000007,11.0
38275,2025-07-27,1.03,1.03,1,0.0,2.09,2.0,7.14,6.0,14.440000000000007,13.0
38275,2025-07-28,1.04,1.04,1,1.0,1.03,1.0,5.84,5.0,14.560000000000008,13.0
38275,2025-07-29,2.5999999999999996,1.39,2,1.0,1.04,1.0,4.16,4.0,14.330000000000007,13.0
38275,2025-07-31,1.47,0.83,2,0.0,2.5999999999999996,2.0,4.67,4.0,13.470000000000006,12.0
38658,2025-07-09,0.3,0.3,1,0.0,0.18,1.0,0.18,1.0,3.820000000000007,4.0
38658,2025-07-24,0.35,0.35,1,0.0,0.3,1.0,0.48,2.0,3.0800000000000063,4.0
38658,2025-07-25,0.22,0.22,1,1.0,0.35,1.0,0.83,3.0,0.8300000000000066,3.0
38658,2025-07-31,0.22,0.22,1,0.0,0.22,1.0,0.8699999999999999,3.0,1.0500000000000067,4.0
38706,2025-07-02,3.49,1.26,3,1.0,2.06,3.0,2.2800000000000002,4.0,3.1100000000000065,7.0
38706,2025-07-03,1.87,1.2,2,1.0,3.49,3.0,5.55,6.0,6.600000000000007,10.0
38706,2025-07-04,2.0300000000000002,1.27,2,1.0,1.87,2.0,7.42,8.0,8.290000000000008,11.0
38706,2025-07-05,1.31,0.9,2,1.0,2.0300000000000002,2.0,7.39,7.0,10.020000000000007,12.0
38706,2025-07-06,2.2,1.62,2,1.0,1.31,2.0,5.21,6.0,10.980000000000008,13.0
38706,2025-07-07,3.27,1.49,3,1.0,2.2,2.0,5.54,6.0,12.960000000000008,14.0
38706,2025-07-08,3.36,1.21,3,1.0,3.27,3.0,6.779999999999999,7.0,16.230000000000008,17.0
38706,2025-07-09,2.3200000000000003,1.06,3,1.0,3.36,3.0,8.829999999999998,8.0,17.53000000000001,17.0
38706,2025-07-10,1.09,1.09,1,1.0,2.3200000000000003,3.0,8.95,9.0,16.360000000000007,17.0
38706,2025-07-11,2.2600000000000002,1.59,2,1.0,1.09,1.0,6.77,7.0,15.580000000000007,16.0
38706,2025-07-12,4.71,1.5,4,1.0,2.2600000000000002,2.0,5.67,6.0,15.81000000000001,16.0
38706,2025-07-13,2.41,0.97,3,1.0,4.71,4.0,8.06,7.0,19.210000000000008,18.0
38706,2025-07-14,2.0,1.18,2,1.0,2.41,3.0,9.38,9.0,19.42000000000001,19.0
38706,2025-07-15,1.37,1.37,1,1.0,2.0,2.0,9.120000000000001,9.0,18.15000000000001,18.0
38706,2025-07-16,1.06,1.06,1,1.0,1.37,1.0,5.78,6.0,16.160000000000007,16.0
38706,2025-07-17,0.6,0.6,1,1.0,1.06,1.0,4.43,4.0,14.900000000000007,14.0
38706,2025-07-18,0.88,0.88,1,1.0,0.6,1.0,3.0300000000000002,3.0,14.410000000000007,14.0
38706,2025-07-19,2.34,0.87,3,1.0,0.88,1.0,2.54,3.0,13.030000000000006,13.0
38706,2025-07-24,3.01,1.18,4,0.0,2.34,3.0,3.82,5.0,10.660000000000007,12.0
38706,2025-07-25,2.03,0.85,3,1.0,3.01,4.0,6.2299999999999995,8.0,11.260000000000007,13.0
38706,2025-07-26,2.64,1.01,3,1.0,2.03,3.0,7.379999999999999,10.0,11.290000000000006,14.0
38706,2025-07-27,3.75,1.16,4,1.0,2.64,3.0,7.68,10.0,12.560000000000006,16.0
38706,2025-07-28,2.6300000000000003,1.12,3,1.0,3.75,4.0,8.42,10.0,15.250000000000007,19.0
38706,2025-07-29,3.15,1.2,3,1.0,2.6300000000000003,3.0,9.020000000000001,10.0,17.28000000000001,21.0
38706,2025-07-30,1.67,1.01,2,1.0,3.15,3.0,9.530000000000001,10.0,19.550000000000004,23.0
38706,2025-07-31,2.41,1.25,2,1.0,1.67,2.0,7.45,8.0,18.88000000000001,22.0
39052,2025-07-09,1.73,1.04,2,1.0,2.88,2.0,4.55,4.0,16.720000000000006,17.0
39052,2025-07-24,2.9299999999999997,1.75,2,0.0,1.73,2.0,4.609999999999999,4.0,15.810000000000008,16.0
39052,2025-07-25,2.4,1.48,2,1.0,2.9299999999999997,2.0,7.539999999999999,6.0,14.990000000000007,14.0
39052,2025-07-30,1.59,1.59,1,0.0,2.4,2.0,7.06,6.0,14.760000000000005,13.0
39052,2025-07-31,0.86,0.86,1,1.0,1.59,1.0,6.92,5.0,13.200000000000008,11.0
39053,2025-07-29,1.13,1.13,1,0.0,1.48,1.0,3.0700000000000003,2.0,13.010000000000007,10.0
39053,2025-07-31,1.2,1.2,1,0.0,1.13,1.0,2.61,2.0,11.260000000000007,9.0
39441,2025-07-17,2.6,1.58,2,0.0,0.9,1.0,0.9,1.0,3.5100000000000073,3.0
39441,2025-07-24,1.47,1.47,1,0.0,2.6,2.0,3.5,3.0,6.110000000000007,5.0
39441,2025-07-25,0.8,0.8,1,1.0,1.47,1.0,4.97,4.0,6.100000000000007,5.0
39441,2025-07-30,1.12,1.12,1,0.0,0.8,1.0,4.869999999999999,4.0,5.770000000000007,5.0
39825,2025-07-08,1.49,1.49,1,0.0,2.3200000000000003,2.0,2.3200000000000003,2.0,8.090000000000007,7.0
39825,2025-07-09,2.77,1.85,2,1.0,1.49,1.0,3.8100000000000005,3.0,8.680000000000009,7.0
39825,2025-07-10,3.45,2.25,2,1.0,2.77,2.0,6.58,5.0,8.850000000000009,7.0
39825,2025-07-17,1.06,1.06,1,0.0,3.45,2.0,7.71,5.0,10.830000000000009,8.0
39825,2025-07-27,1.41,1.41,1,0.0,1.06,1.0,7.279999999999999,5.0,11.090000000000007,8.0
39825,2025-07-28,1.27,1.27,1,1.0,1.41,1.0,5.92,4.0,12.500000000000007,9.0
39825,2025-07-29,0.92,0.92,1,1.0,1.27,1.0,3.74,3.0,13.770000000000007,10.0
39825,2025-07-30,1.39,1.39,1,1.0,0.92,1.0,3.6,3.0,12.370000000000006,9.0
39825,2025-07-31,1.11,1.11,1,1.0,1.39,1.0,3.58,3.0,12.270000000000007,9.0
39826,2025-07-06,1.46,1.46,1,1.0,1.02,1.0,2.4099999999999997,2.0,7.070000000000007,6.0
39826,2025-07-09,2.3899999999999997,1.69,2,0.0,1.46,1.0,2.48,2.0,7.470000000000006,6.0
39826,2025-07-10,1.4,1.4,1,1.0,2.3899999999999997,2.0,4.869999999999999,4.0,8.450000000000006,7.0
39826,2025-07-11,0.95,0.95,1,1.0,1.4,1.0,5.25,4.0,8.580000000000005,7.0
39826,2025-07-17,2.3600000000000003,1.31,2,0.0,0.95,1.0,4.739999999999999,4.0,8.610000000000007,7.0
39826,2025-07-19,0.65,0.65,1,0.0,2.3600000000000003,2.0,4.71,4.0,9.580000000000007,8.0
39826,2025-07-24,1.39,1.39,1,0.0,0.65,1.0,3.96,4.0,10.230000000000008,9.0
39826,2025-07-25,1.71,1.71,1,1.0,1.39,1.0,4.4,4.0,10.600000000000009,9.0
40677,2025-07-03,0.56,0.56,1,1.0,0.45,1.0,1.8399999999999996,2.0,7.200000000000008,7.0
40677,2025-07-15,0.52,0.52,1,0.0,0.56,1.0,1.0099999999999996,2.0,6.360000000000007,7.0
40677,2025-07-28,0.27,0.27,1,0.0,0.52,1.0,1.5299999999999996,3.0,5.930000000000008,7.0
40677,2025-07-29,0.4,0.4,1,1.0,0.27,1.0,1.3499999999999996,3.0,3.840000000000007,6.0
40677,2025-07-30,0.61,0.61,1,1.0,0.4,1.0,1.1899999999999995,3.0,3.5900000000000074,6.0
40678,2025-07-03,0.41,0.41,1,0.0,0.49,1.0,0.8899999999999996,2.0,2.690000000000007,6.0
40678,2025-07-04,0.32,0.32,1,1.0,0.41,1.0,0.8999999999999995,2.0,2.650000000000007,6.0
40678,2025-07-05,0.8200000000000001,0.46,2,1.0,0.32,1.0,1.2199999999999995,3.0,2.410000000000007,6.0
40678,2025-07-07,0.69,0.69,1,0.0,0.8200000000000001,2.0,1.5499999999999996,4.0,2.710000000000007,7.0
40678,2025-07-09,0.25,0.25,1,0.0,0.69,1.0,1.8299999999999996,4.0,3.130000000000007,7.0
40678,2025-07-19,0.31,0.31,1,0.0,0.25,1.0,1.7599999999999996,4.0,2.980000000000007,7.0
40678,2025-07-20,0.51,0.51,1,1.0,0.31,1.0,1.2499999999999996,3.0,3.290000000000007,8.0
40678,2025-07-24,0.27,0.27,1,0.0,0.51,1.0,1.0699999999999996,3.0,3.3100000000000067,8.0
40678,2025-07-25,0.28,0.28,1,1.0,0.27,1.0,1.0899999999999996,3.0,3.170000000000007,8.0
40678,2025-07-26,0.57,0.57,1,1.0,0.28,1.0,1.0599999999999996,3.0,3.130000000000007,8.0
40678,2025-07-28,0.4,0.4,1,0.0,0.57,1.0,1.1199999999999997,3.0,2.880000000000007,7.0
40678,2025-07-30,0.2,0.2,1,0.0,0.4,1.0,1.2499999999999996,3.0,2.590000000000007,7.0
41419,2025-07-24,1.76,0.86,4,1.0,244.57,5.0,244.57,5.0,246.09,9.0
42227,2025-07-04,0.39,0.39,1,0.0,0.42,1.0,0.42,1.0,0.42,1.0
42227,2025-07-07,0.74,0.74,1,0.0,0.39,1.0,0.81,2.0,0.81,2.0
42227,2025-07-15,0.52,0.52,1,0.0,0.74,1.0,1.55,3.0,1.55,3.0
42227,2025-07-19,0.49,0.49,1,0.0,0.52,1.0,1.6500000000000001,3.0,2.0700000000000003,4.0
42227,2025-07-25,0.18,0.18,1,0.0,0.49,1.0,1.75,3.0,2.56,5.0
42227,2025-07-27,0.36,0.36,1,0.0,0.18,1.0,1.19,3.0,2.74,6.0
42227,2025-07-28,0.29,0.29,1,1.0,0.36,1.0,1.03,3.0,3.1,7.0
42227,2025-07-30,0.46,0.46,1,0.0,0.29,1.0,0.83,3.0,2.97,7.0
42260,2025-07-20,8.65,8.65,1,0.0,11.51,2.0,11.51,2.0,12.83,6.0
42260,2025-07-28,7.39,7.39,1,0.0,8.65,1.0,20.16,3.0,20.990000000000002,6.0
43728,2025-07-06,0.88,0.88,1,0.0,0.55,1.0,0.55,1.0,20.71,4.0
43728,2025-07-07,0.36,0.36,1,1.0,0.88,1.0,1.4300000000000002,2.0,21.590000000000003,5.0
43728,2025-07-08,0.5,0.5,1,1.0,0.36,1.0,1.79,3.0,10.440000000000001,4.0
43728,2025-07-09,0.9500000000000001,0.55,2,1.0,0.5,1.0,1.74,3.0,2.29,4.0
43728,2025-07-11,0.78,0.78,1,0.0,0.9500000000000001,2.0,1.81,4.0,3.24,6.0
43728,2025-07-17,1.28,0.78,2,0.0,0.78,1.0,2.2300000000000004,4.0,4.0200000000000005,7.0
43728,2025-07-18,1.5,0.61,3,1.0,1.28,2.0,3.0100000000000002,5.0,5.300000000000001,9.0
43728,2025-07-24,1.08,0.79,2,0.0,1.5,3.0,3.56,6.0,6.25,11.0
43728,2025-07-25,0.28,0.28,1,1.0,1.08,2.0,3.8600000000000003,7.0,6.450000000000001,12.0
43728,2025-07-27,0.95,0.75,2,0.0,0.28,1.0,2.8600000000000003,6.0,6.37,12.0
43728,2025-07-28,1.36,1.02,3,1.0,0.95,2.0,2.31,5.0,6.82,13.0
43728,2025-07-29,0.63,0.36,2,1.0,1.36,3.0,2.59,6.0,7.23,14.0
43728,2025-07-30,0.7,0.7,1,1.0,0.63,2.0,2.94,7.0,7.08,15.0
43728,2025-07-31,0.64,0.64,1,1.0,0.7,1.0,2.69,6.0,6.500000000000001,14.0
43759,2025-07-24,0.29,0.29,1,0.0,0.32,1.0,0.32,1.0,3.0100000000000002,7.0
44117,2025-07-03,0.63,0.63,1,0.0,1.27,2.0,1.59,3.0,2.29,4.0
44117,2025-07-05,0.22,0.22,1,0.0,0.63,1.0,1.9,3.0,2.22,4.0
44117,2025-07-08,0.56,0.56,1,0.0,0.22,1.0,2.12,4.0,2.44,5.0
44117,2025-07-25,0.67,0.67,1,0.0,0.56,1.0,1.4100000000000001,3.0,3.0,6.0
44117,2025-07-29,0.63,0.63,1,0.0,0.67,1.0,1.4500000000000002,3.0,3.67,7.0
44117,2025-07-30,0.68,0.68,1,1.0,0.63,1.0,1.86,3.0,3.98,7.0
44117,2025-07-31,0.24,0.24,1,1.0,0.68,1.0,1.98,3.0,4.66,8.0
44133,2025-07-02,0.77,0.53,2,1.0,0.7000000000000001,2.0,1.3800000000000001,3.0,3.46,7.0
44133,2025-07-05,0.53,0.53,1,0.0,0.77,2.0,1.4700000000000002,4.0,4.010000000000001,8.0
44133,2025-07-06,0.53,0.53,1,1.0,0.53,1.0,2.0,5.0,3.9800000000000004,8.0
44133,2025-07-07,0.85,0.85,1,1.0,0.53,1.0,1.83,4.0,3.8400000000000003,8.0
44133,2025-07-08,0.9,0.5,2,1.0,0.85,1.0,1.91,3.0,4.0600000000000005,8.0
44133,2025-07-09,0.96,0.53,2,1.0,0.9,2.0,2.28,4.0,4.28,9.0
44133,2025-07-11,0.88,0.67,2,0.0,0.96,2.0,2.71,5.0,5.24,11.0
44133,2025-07-16,0.82,0.57,2,0.0,0.88,2.0,2.74,6.0,5.42,11.0
44133,2025-07-17,0.52,0.52,1,1.0,0.82,2.0,2.66,6.0,5.47,11.0
44133,2025-07-18,0.52,0.52,1,1.0,0.52,1.0,2.22,5.0,5.46,11.0
44133,2025-07-19,0.91,0.91,1,1.0,0.52,1.0,1.8599999999999999,4.0,5.45,11.0
44133,2025-07-24,1.13,0.6,2,0.0,0.91,1.0,1.9500000000000002,3.0,5.51,11.0
44133,2025-07-25,0.5,0.31,2,1.0,1.13,2.0,2.56,4.0,5.74,11.0
44133,2025-07-28,1.11,0.67,2,0.0,0.5,2.0,2.54,5.0,5.28,11.0
44133,2025-07-29,0.32,0.32,1,1.0,1.11,2.0,2.74,6.0,5.51,11.0
44133,2025-07-30,0.59,0.59,1,1.0,0.32,1.0,1.9300000000000002,5.0,5.01,10.0
44133,2025-07-31,0.94,0.72,2,1.0,0.59,1.0,2.02,4.0,5.08,10.0
44147,2025-07-07,0.34,0.34,1,0.0,0.16,1.0,0.7499999999999999,2.0,3.8099999999999996,9.0
44147,2025-07-12,0.35,0.35,1,0.0,0.34,1.0,0.5,2.0,3.0199999999999996,8.0
44148,2025-07-27,0.34,0.34,1,0.0,0.27,1.0,0.61,2.0,1.68,5.0
44929,2025-07-02,2.54,1.13,3,1.0,0.63,1.0,0.63,1.0,1.4,4.0
44929,2025-07-03,4.22,1.33,4,1.0,2.54,3.0,3.17,4.0,3.7800000000000002,6.0
44929,2025-07-11,0.93,0.93,1,0.0,4.22,4.0,7.39,8.0,7.66,9.0
44929,2025-07-12,1.23,0.7,2,1.0,0.93,1.0,7.6899999999999995,8.0,8.59,10.0
44929,2025-07-24,4.3,1.69,3,0.0,1.23,2.0,6.38,7.0,9.55,11.0
44929,2025-07-25,1.22,0.82,2,1.0,4.3,3.0,6.46,6.0,13.850000000000001,14.0
44929,2025-07-26,1.08,0.61,2,1.0,1.22,2.0,6.75,7.0,15.07,16.0
44929,2025-07-31,3.34,1.83,2,0.0,1.08,2.0,6.6,7.0,15.52,17.0
45324,2025-07-16,3.36,3.36,1,0.0,1.48,1.0,1.48,1.0,9.31,10.0
45324,2025-07-20,3.49,3.49,1,0.0,3.36,1.0,4.84,2.0,11.44,9.0
45683,2025-07-07,0.4,0.4,1,0.0,1.01,2.0,4.37,3.0,6.93,6.0
45683,2025-07-08,1.31,0.67,2,1.0,0.4,1.0,1.4100000000000001,3.0,6.25,5.0
45683,2025-07-18,0.43,0.43,1,0.0,1.31,2.0,2.72,5.0,7.5600000000000005,7.0
45683,2025-07-24,1.1800000000000002,0.66,2,0.0,0.43,1.0,2.14,4.0,7.99,8.0
45683,2025-07-27,0.78,0.78,1,0.0,1.1800000000000002,2.0,2.9200000000000004,5.0,7.6899999999999995,9.0
45683,2025-07-28,0.58,0.58,1,1.0,0.78,1.0,2.3900000000000006,4.0,5.11,9.0
45683,2025-07-29,0.25,0.25,1,1.0,0.58,1.0,2.5400000000000005,4.0,5.69,10.0
46100,2025-07-02,1.9100000000000001,0.79,3,1.0,1.05,2.0,1.6300000000000001,3.0,5.33,9.0
46100,2025-07-03,1.1600000000000001,0.61,2,1.0,1.9100000000000001,3.0,2.9600000000000004,5.0,5.93,10.0
46100,2025-07-04,2.29,0.82,4,1.0,1.1600000000000001,2.0,4.120000000000001,7.0,6.66,11.0
46100,2025-07-05,0.99,0.54,2,1.0,2.29,4.0,5.36,9.0,7.7700000000000005,13.0
46100,2025-07-06,5.49,4.26,3,1.0,0.99,2.0,4.44,8.0,7.98,14.0
46100,2025-07-07,1.3,0.79,2,1.0,5.49,3.0,8.77,9.0,12.89,16.0
46100,2025-07-08,1.2200000000000002,0.68,2,1.0,1.3,2.0,7.78,7.0,14.190000000000001,18.0
46100,2025-07-09,1.83,0.66,4,1.0,1.2200000000000002,2.0,8.01,7.0,14.36,18.0
46100,2025-07-10,0.64,0.64,1,1.0,1.83,4.0,4.3500000000000005,8.0,14.28,19.0
46100,2025-07-11,0.59,0.59,1,1.0,0.64,1.0,3.6900000000000004,7.0,13.760000000000002,18.0
46100,2025-07-12,1.4700000000000002,0.8,2,1.0,0.59,1.0,3.0599999999999996,6.0,12.06,15.0
46100,2025-07-13,1.74,0.59,3,1.0,1.4700000000000002,2.0,2.7,4.0,12.540000000000001,15.0
46100,2025-07-14,0.22,0.22,1,1.0,1.74,3.0,3.8,6.0,8.790000000000001,15.0
46100,2025-07-15,1.39,0.7,2,1.0,0.22,1.0,3.43,6.0,7.710000000000001,14.0
46100,2025-07-16,0.71,0.71,1,1.0,1.39,2.0,3.3499999999999996,6.0,7.88,14.0
46100,2025-07-17,0.44,0.44,1,1.0,0.71,1.0,2.32,4.0,6.76,11.0
